episode,timestep,reward
9,2000,-1364.4103
19,4000,-1426.1524
29,6000,-1548.4785
39,8000,-1442.8245
49,10000,-1512.8056
59,12000,-1300.9604
69,14000,-1397.8333
79,16000,-1218.9393
89,18000,-1261.3038
99,20000,-1476.7101
109,22000,-1157.2172
119,24000,-1300.0802
129,26000,-1516.4287
139,28000,-1423.8089
149,30000,-1138.373
159,32000,-1348.3341
169,34000,-1178.7202
179,36000,-1306.4201
189,38000,-1370.1197
199,40000,-1331.3099
209,42000,-1193.779
219,44000,-1479.322
229,46000,-1439.9983
239,48000,-1092.9833
249,50000,-1204.2071
259,52000,-1407.8946
269,54000,-1142.5484
279,56000,-1172.1042
289,58000,-1257.678
299,60000,-1251.9589
309,62000,-1410.9551
319,64000,-1116.1786
329,66000,-1364.1018
339,68000,-1262.9711
349,70000,-1052.4115
359,72000,-1129.4292
369,74000,-909.9812
379,76000,-1192.5122
389,78000,-1144.8552
399,80000,-1231.4544
409,82000,-1359.5452
419,84000,-1286.8814
429,86000,-1096.6196
439,88000,-1037.6719
449,90000,-942.0048
459,92000,-865.3424
469,94000,-1091.3981
479,96000,-1180.6373
489,98000,-948.0643
499,100000,-1097.9743
509,102000,-1174.9328
519,104000,-1158.4542
529,106000,-1142.0737
539,108000,-1082.6112
549,110000,-873.6779
559,112000,-965.9257
569,114000,-800.5899
579,116000,-1099.0708
589,118000,-1207.6588
599,120000,-862.0863
609,122000,-1286.5857
619,124000,-1064.2922
629,126000,-778.5678
639,128000,-1323.8629
649,130000,-1205.1484
659,132000,-802.5826
669,134000,-880.9896
679,136000,-1045.6944
689,138000,-446.1902
699,140000,-881.4558
709,142000,-920.1443
719,144000,-517.3022
729,146000,-650.5108
739,148000,-786.0274
749,150000,-670.8368
759,152000,-776.9493
769,154000,-526.111
779,156000,-1243.9449
789,158000,-485.3763
799,160000,-841.2455
809,162000,-382.4017
819,164000,-394.8966
829,166000,-778.545
839,168000,-517.6361
849,170000,-372.9785
859,172000,-435.7337
869,174000,-538.2749
879,176000,-417.574
889,178000,-255.7296
899,180000,-267.8757
909,182000,-408.7859
919,184000,-590.246
929,186000,-445.4227
939,188000,-503.334
949,190000,-155.3179
959,192000,-281.7362
969,194000,-714.3971
979,196000,-588.6984
989,198000,-456.5714
999,200000,-315.2923
1009,202000,-324.8102
1019,204000,-439.1669
1029,206000,-297.6477
1039,208000,-391.1673
1049,210000,-321.0517
1059,212000,-323.8783
1069,214000,-226.9495
1079,216000,-135.7641
1089,218000,-331.9055
1099,220000,-366.3945
1109,222000,-148.2897
1119,224000,-244.014
1129,226000,-197.29
1139,228000,-365.0462
1149,230000,-257.8111
1159,232000,-325.2992
1169,234000,-227.8331
1179,236000,-260.2366
1189,238000,-247.2962
1199,240000,-344.569
1209,242000,-280.953
1219,244000,-167.2597
1229,246000,-242.6266
1239,248000,-174.5575
1249,250000,-230.3707
1259,252000,-297.2154
1269,254000,-232.6521
1279,256000,-182.6402
1289,258000,-86.8969
1299,260000,-211.7702
1309,262000,-132.6727
1319,264000,-202.1926
1329,266000,-146.5026
1339,268000,-287.8122
1349,270000,-197.7378
1359,272000,-180.5031
1369,274000,-144.9389
1379,276000,-178.5689
1389,278000,-239.1366
1399,280000,-230.3507
1409,282000,-146.603
1419,284000,-192.2759
1429,286000,-159.6223
1439,288000,-213.7059
1449,290000,-242.0559
1459,292000,-179.9363
1469,294000,-217.2978
1479,296000,-172.2449
1489,298000,-154.1399
1499,300000,-144.1663
1509,302000,-110.7836
1519,304000,-168.5676
1529,306000,-168.3424
1539,308000,-120.6221
1549,310000,-167.7334
1559,312000,-123.066
1569,314000,-187.3466
1579,316000,-202.5327
1589,318000,-154.1806
1599,320000,-208.2339
1609,322000,-190.7096
1619,324000,-159.1087
1629,326000,-195.3007
1639,328000,-207.4172
1649,330000,-195.1462
1659,332000,-210.7795
1669,334000,-212.7713
1679,336000,-227.4188
1689,338000,-124.7306
1699,340000,-180.1585
1709,342000,-200.716
1719,344000,-168.2864
1729,346000,-194.7388
1739,348000,-170.5873
1749,350000,-167.1043
1759,352000,-210.7571
1769,354000,-208.7511
1779,356000,-135.0268
1789,358000,-187.1778
1799,360000,-167.5343
1809,362000,-132.8424
